,Comment
10,I have been using this phone for about last 4 days and the best part about this phone is the display it's truly gorgeous once you start using 1440P 90Hz display I bet you won't even feel using the 1080p display and the cherry on the top is its OLED black is black and all the colours looks just so great that it makes viewing experience like you are sitting in a IMAX.Alright enough about the display now speaking about the camera I think over the updates oneplus will improve it but still as of today it's still performs quite well in well lit environment but it underperfoms in low light environment however nightscape mode works quite well but I hope for the oneplus improvvs it over the updates.Under producing selfie camera performs well and I really like that it has a free fall detection which is like and insurance for your phoneSpeaking about the battery if you're going to game then I guess you will get around 4 hours of screen on time on 1440 p at 90 hz but if you are going to use this phone as a daily driver then it can get you through all the day I charge my phone at 7 in the morning and when I came back home at around 12 o'clock at the night I still had around 20% battery left so it's quite good for me.Other Interesting features like the processor of this phone the beauty of this phone and the glass back and its display is just Cherry on the top.In conclusion this is by far the best phone I have ever bought if you are going to buy any phone at around 50k price. Then definitely go for this and I think 8GB RAM variant is good enough I don't know why they made 12 GB variant
11,"First time I have purchased one plus phone (one plus 7 pro) but my experience is very bad due to phone camera quality and battery life. Pictures are blur and camera can't focus on subject, pictures showing good in camera before clicking but after click picture goes blur. I have done every troubleshooting but problem is still same. Battery also work for 4-5 hours. So I want to return it. Because I have spent a very big amount on this phone but I am very disappointed by Amazon and one plus."
12,"One plus 7 pro is sold at a higher price and the device doesn't justify that, with no headphone jack and a dismal battey life i would suggest to wait for one plus 7. They don't include type - c to 3.5 jack connector in the box. WHEN I SAY THAT BATTERY LIFE IS POOR I SERIOUSLY MEAN IT. you barely get 4 hrs on time with the screen with 90hz, they have included 60hz option in the settings but which fool would change from 90 to 60hz ? the 90hz will spoil you and you will NEVER go back to 60hz screen. As i said the mobile overall is average not bad. They have provided a WARP charger which charges like crazy fast which will somehow 'compensate' a bad battery ?  NO  There were numerous occasions where i had to charge 3-4 times a day of heavy usage. The WARP charger charges the device to 50% in 20 min which is the only reason why i haven't gone for refund, really.As for the camera, it's 'average' for a flagship device. One plus pro are a premium rage smartphones which aims to compete with flagships, it isn't a 'flagship killer' but a 'flagship contender'The photos on bright sunlight and good lighting are good but fally horribly bad on low lighting and night time. So dismal.Some neat features in this device is that it is really smart , the sensors are top notch and detect the phone movement so scarily accurate . For example when you life the device from the table or a bed or whatever the sensors detect the movement and the screen lights up for you to check for notifications, note that this isn't because the front cam detects your 'ugly' face because the front cam is neatly sealed inside the device and it pops up when you need to take a selfie or a face recognition unlock with help of a magnetic motor. The device's screen is good not great i don't understand why there is a huge fuss around it.One more thing i have noted is that the vibrating motor in this device is very top class, they have clearly put a lot of effort in perfecting it, you can set the vibration intensity to match you satisfaction, be careful though if it is too high, when the mobile vibrates you too vibrate along with it :)I , thus conclude by stating that this device is a very 'average' 'smart' phone with a good screen which also happends to be a flagship for one plus company."
13,"Very bad product, many functions doesn't work, I have OnePlus 5 and I didn't feel any issue with my old phone till now, don't buy, you will regret, and also Amazon support won't help you at all, they are even more worst 😡😡😡"
14,"One of the best phones I have used, be it android or iOS.The performance is buttery smooth, compared side by side with a Oneplus 6T, and 90hz display really makes a hell lot of difference.Updated to the 9.5.4 available while writing the review, and the battery life is awesome, getting 6 hrs screen on time with 90hz display. Camera is decent, just put the GCam, and it becomes a versatile camera option to shoot in different scenarios.Warp charging is the highlight and really charges the phone pretty quick, I don't miss my dash charging even with this huge battery.The haptic motor is finally really good, and now typing and other small tasks gives that satisfying vibrations.Stereo speakers are of really good quality and they are loud and clear.As for the headphone jack and adapter, everyone should know that before getting this device, spending ₹50k for a device without prior research is your mistake. Sure they should have given atleast an adapter, but it's no reason to give this one star.Overall, really awesome device, much better than the exynos galaxy that we get here in India."
15,I am very disappointed with one plus there are no wireless charging and earphones with the phone in 53k u must go with 26k-55k vivo Samsung or apple also they giving you this standard Assesories with the phone.about hand set phone screen resolution is perfect 👌camera is perfect and design also perfect 👌
16,Bad experience with Amazon and onepluse.I have problems in touch but they don't accept replace immediately.Touch not working properly in a day 2_3 times it's automatically touch and phone start various application without any touch closing and open. Customer care taking too long time and assign technical assistance after on 27  may . Don't buySame problem after replacement but now ok after os update. Best phone in 50k range
17,The product was received in good packaging condition.. The phone is awesome except that the selfie popup camera isn't working.. It refuses to come out & instead an error message pops up for the camera..
18,"Before going to buy this product let me tell some truth... Camera is at it's worst, after buying this  phone  I got 2 updates and last one specific for camera  but still it's same as before after updateScreen quality  just like a normal lcd panel phone , I switched from pixel XL but that was my biggest mistake I can say that.Now the funniest thing is my phone's front camera taking 15-20 second to popup and Amazon tech support says that's normal 😁😁. Amazon says no return policy is there for this phone so yeah you are going to regret after buying this piece of junk, don't listen to the YouTubbers they are just paid for that. I am writing this review after 10 days of use."
19,Phone is like a brick. Very heavy. I mean you can't talk without headphones. Interesting thing is one plus calling this premium phone. They have the audacity to give this phone without earphone and any kind of adapter from type c to 3.55. Thats arrogance at it's best. Basically you are stuck and spend whole lot of money for Bluetooth ear phone. Only saving grace of this phone is performance. Ui is not great and very old. Vivo has better ui than this phone. Buy if you want to shell out extra money for simple things like adapter and all.  It is not water resistant too. No it's rating. This is my first and last one plus.
20,"An absolute fun loving futuristic Beast phone ever made by OnePlus.Thumbs Up👍:1. Fluid Amoled: Top notch quality display similar to Samsung Dynamic Amoled.2. 90Hz Refresh rate: Butter Smooth experience, Best for gaming! 🎳3. Full screen Display:  There is no distractions like notch or pinch hole camera. Breathtaking 😍 Viewing experience with HDR10+.📺4. Triple Camera Setup: Ultra wide(117°)+ Wide + Telephoto.🎥5. Dolby Atmos: Crystal clear Surround sound 🔊6. Popup Camera: Interesting Camera 📷set up which eliminated notch on Display and it is sturdy.7. World's First phone to have UFS 3.0.Thumbs Down:👎1: I felt like screen is too big, it could have been between 6.3 - 6.4 instead of 6.67 inch.2.  Price: I had to pay Rs.16000💰 more Just for full screen Display (UHD+, 90Hz+ Bezelless), 300mAh more battery and for an Extra Telephoto camera.3. Little bit thicker & hefty: 206grams🏋️ compared to OnePlus7 weighing about 182grams.Will update my detailed review on OnePlus 7pro after One Month of usage."
21,"I completely Loved the display quality , sound quality , finger print sensor , Pop up camera, wide angle , 3x zoom and night scape camera. I disappointed a bit by not having a 3.5 mm ear phone jack. Coming to the story of battery life one plus 7 pro is 4000 milliamp which is having 9 hrs 45 minutes battery life where as one plus 6t is 3700 milliamp which is having 10 hrs battery life . I was disappointed with this too. I was totally stunned by the speediness of fingerprint sensor absolutely stunned .  I think everything is fine with the New one plus 7 pro and I am absolutely and delightfully enjoying the experience of New one plus 7 pro . Basically I am a movie lover. I am enjoying the HD movies like I am watching in movie theater. Dolby Atmos sound quality adds this phone to become high priority than others ."
22,"Definitely worth every single Penny spent on it. The display and performance are absolutely mind blowing. Camera may not be the best but it's still top class. The phone isn't as big as people would think it is. It's actually pretty sleek and feels nice in the hands as it isn't very broad. The battery performance is commendable given the 90hz refresh rate and the QHD display. Would easily last a day on normal usage. Although, Heavy users would require around half an hour of charging. Warp charge is super fast, you won't even realise how quickly your phone charges after you plug it in. Oxygen works buttery smooth and as a first time user of this UI, I'm liking it quite a lot. Gaming is wonderful too, absolutely smooth, beautiful and lag free. The accompanying phone cover is good too, it just gets smudged by finger prints though. As someone who watched reviews of different phones and was well versed with what I was buying, I'm enjoying every second of using this phone.Most of the reviewers here are complaining about not receiving headphones and extra covers and a screen guard with bubbles, it's absolutely absurd. You should atleast look over what you're buying first thoroughly, and any reasonable man would have easily found out what he's get in the box and what he's not getting. These illiterate people buy stuff without knowing anything and then expect candies in the damn box and when they don't get it, write negative reviews which influence other queer buyers. It's highly unfortunate.For all those looking for the best performing Device available right now, go for it, if you can compromise with the headphone jack (get a 3.5mm to c type cable and problem solved). Everything from the looks and feel to the performance of the phone is amazing. You'll feel that you're holding a flagship masterpiece every second you're holding this phone. It's easily the best phone in it's price range hands down."
23,Battery is a weak.. Needs to charge twice a dayAnd apps also keep crashing... In between...Thr is a bug in which lock screen ambient light won't work sumtimes
24,Didn't received Bluetooth headphone and car charger with mobile. As it was told in the launch event that one plus seven will give both these products with package.
25,SO this phone is probably the best Android phone till date and even better than ios ehen it comes to camera and speed❤️I HAVE BEEN USING THIS PHONE FROM PAST 2 DAYS FOLLOWING ARE THE PROS-1)NO LAG IN GAMING2) ULTIMATELY FAST CHARGING3) THE EDGES ON SCREEN GIVE PREMIUM FEELING4) DUAL SPEAKERS ARE SERIOUSLY USEFUL5) THE TOUCH AND DISPLAY IS VERY SMOOTH6) CAMERA IS A BEAST BOTH FRONT AND BACK CAMERAFOLLOWING ARE CONS-NONE XD AS A CONCLUSION--THE SPEED IS UNMATCHABLE-IN HAND FEEL IS VERY PREMIUM-CAMERA WILL NOT LET YOU DOWN-WARP CHARGING IS VERY QUICKHOPE THIS HELPS🙂❤️
26,"Neither a flagship phone nor a flagship killer. It's an expensive joke..  Mi note 5 pro camera is far far better than this idot box.  48 MP camera is a joke.  The tech reviewers gave biased reviews. Don't even try to compare with MI note 7 pro 48MP setup.  Nothing in the product will amaze you,  you will end up with a huge disappointment... Ram management is pathetic,  battery is below average.  Go for google pixel rather than this."
27,"Big issue with touchscreen..when I try n write it starts video call on wattsapp.. I am trying to write a review the page is closing automatically. After spending 50k if you face such issues, it's disappointing.. I don't know if this issue is because I ordered from Amazon.. I will not recommend this phone to anyone.. I want to return this n want a good phone in working condition or else my refund."
28,"I didn't believe the reviewers. I bought the phone. And now I don't like any other phones except OnePlus 7 Pro.90Hz - It's madness. Imagine this - Drinking alcohol is injurious to health, but if you drink it you'll feel good. Right? 90Hz would give you the best smartphone experience, but it drains some more battery compared to 60Hz. Moderate drinking is perfectly fine; charging the phone 2 times a day is fine too. (I'm a heavy user)Warp charger - Charges the phone at remarkable speeds. If you're a previous OnePlus user, you won't find much of a difference.Camera - Definitely the best, in accordance with pricing.Everything else - as accurate as in the product description.My favorite retarded reviews :*Someone was upset that he couldn't find a 'OnePlus backpack' and a 'OnePlus water bottle' in the package.*Someone was upset that he found an air bubble under the phone's screen guard."
29,I was a follower of OnePlus but after this phone I am not going to by OnePlus phones anymore. I got screen burning on multiple spots on this phone.Those people call it a gaming phone & when I play games for couple of hours a day it gets screen burning....so what kind of gaming phone is this.I bought Samsung Tab S6 for gaming....this phone just remain as yet another phone
30,"Upgraded from my OnePlus 6 just a few days back after using OnePlus 6 for about 10 months or so.Initial observation :1. QHD screen is just gorgeous with 90 Hz refresh rate.2. No notch whatsoever.3. Near Stock Android experience.4. OP is great in pushing updates regularly which is a rare thing even with Samsung's flagship phones.Pro's :1.  QHD screen is just gorgeous with 90 Hz refresh rate.2. Near Stock Android experience with some very useful features like screen recorder, ability to switch between QHD & FHD+, etc3. Fast Charging (coutsey OPPO's VOOC Charge 3).4. Good ROM options.5. ZEN mode to log you out of the smartphone for 20 minutes.6. Full screen without a notch makes video streaming a great experience.7. Apps open fast, really fast.8. Pop Up camera is really fast during face recognition. Many times you may not even notice that the POP UP camera really came out of the slot retracted. It's that fast.CON's :1. Battery drain gets hampered if you run it in QHD with 90 Hz refresh rate.2. Camera is not up to the mark as compared to OnePlus 6 apart from the options of wide angle. (maybe software update will improve its usability, perticularly while shooting videos in wide angle).3 Camera clicks 12 MP shots in default mode. Night mode is so-so but don't compare it with Pixel 3, Pixel 3XL or even with Pixel 3a XL. Pixel is way ahead in terms of resolution perticularly in night mode.4. Day time photos are much better when compared to OnePlus 6 perticularly where good light is not an issue. Photography during ""conference"" might be tricky. This is where Pixel will overshadow all other smartphones.5. This is a big phone in the territory of a tablet. Handling it might be a bit difficult for some. Single hand use is not advisable.Will update after a few more days of use.UPDATE AFTER A FEW MORE DAYS OF USAGE :Most of the users of OnePlus 7 Pro (as per the reviews) would be happy with budget handset like Redmi or Realme as they are either using OnePlus 7 Pro for the sake of it or to play games. Whether your handset has 2GB RAM free or not has nothing to do with the performance. What makes a difference is the availability of RAM for a perticular task. RAM management is very good like all the previous OnePlus devices.IPhone XS Max also doesn't give a headset or even a dongle to use it with 3.5 mm headphone jack but people do buy iPhone without thinking twice. Iphone doesn't even give fast charging brick in the box. When people can spend a lack of rupees for a brand why complain about OnePlus 7 Pro.Call quality of OP 7 Pro is good. Even video calling over Whatsapp and Skype is good.It's a pleasure using OnePlus 7 Pro for creating Word documents, PPT's, Excel Sheets on the go. These apps use a lot of battery and RAM. Adobe Reader is just fluid. RAM management while using these apps and switching between them is just beautiful and seamless.Will update after a few more days......As expected, OnePlus released an update on the general performance and camera issue.Camera quality is quite subjective and uncontrollable since everyone can capture an awful photo in a random scenario. Even though the photo is not quite bad technically, there is always someone giving negative opinion only for the reason that he likes more appealing photo style. Every time when there is a photo sent to us due to negative feedback, our engineers are requested to find the same light condition and object of same color and texture to simulate the photo in order to reproduce the same problem. You can imagine the time and workload needed for fixing every single problem, not to mention the dozens of photos we got from all over the world everyday. We hope you guys could understand and allow us more time keep working on the camera.ONEPLUS COMMUNITY LISTENS...."
31,"There are air bobbles on the screen , request has been placed for return, let see what they would suggest"
32,"Please don't buy it now, it is not picking up the network time. Maybe a software issue and Amazon would be sending a technician today but they wouldn't replace or refund it."
33,Brought a phone @53K it's Heats a lot.....even in normal use it's become 🔥🔥🔥🔥🔥 .... There's no option for return Amazon... Say download the app n that app is completely useless it shows 42° as normal temperature really disappoint  one should go with another brand Google pixel or iPhone
34,display- 5 starlook- 4 starprocessor- no need to be ratedbattery- 4 star. more thn my expectations at qhd nd 90hzgood sound not one of d best stereo speakers
35,Amazing phone I have never given reviews about anything on internet but after reading some bad comments insisted me to write one good comment. Guys don't know people are mad or there luck is too bad that they have received some dabba but in one line I can garrentee you .... That u can't find better phone then this. I have used iPhone Samsung Sony Nokia redmi oppo but after using  one plus specially 7 pro I can't think I would buy some other phone.Best of the best
36,Good and awesome experience in one plus 7 proGood battery lifeGood cameraGood for pubgBig screen and sound quality is also goodWorking in good condition let's see... I used this almost 10 days suddenly my wake screen and double tap to wake the screen is not working properly
37,"Got it in a day, and have been using it for a day, till now the experience is quite good, here are the pros and cons I noticed-Pros-1. The display is absolutely amazing 90Hz refresh rate makes everything make more fluid, plus the HDR support is a good feature since they are tying up with Netflix to bring HDR content, although some apps have not used the curves at top and bottom of the screen properly.2. The phone is fast and I mean damn fast, thanks to the Qualcomm SD 855.3. Battery life lasts about a day with medium use, with heavy use with QHD and 90Hz kept on, the battery drains fast. But  with the WRAP30 charger it charges pretty fast.4. The UFS3.0 storage is very fast.5. The phone design looks good, one of the best looking smartphones with a glass back.Cons-1. The biggest con is it has no headphone jack AND no USB-C to 3.5mm converter or USB-C headphone is provided with this, so you have to shell out extra bucks for that.2. The upcoming OnePlus 7 still has SD855 and 48MP processor, although it costs about 32999.3. The camera is nothing unique for a flagship, but still captures good photo even in lowlight.4. No wireless charging.5. No official water proof rating.6. It's very slippery due to the glass back, so if you've tendency of dropping phones definitely get a cover. Although finger smudges are easy to clean on it unlike the Google Pixel.Over all it's great phone and one can go for it."
38,"Review after a week of using:Display:It's as good as it gets. Super AMOLED with 90Hz refresh rate. The colours are vivid and contents are crisp, also, with the video enhancement ratio turned on, the contrast ratio is really kicking in. However, you do not get a Samsung or Apple level display but at this price point, this is a steal.Display Rating - 9/10.Sound:Dolby Atmos gives you the stereo sound that OnePlus has promised and it makes you feel immersed in whatever video you're watching or game you're playing with addition to the full screen display. However, it's not the best sound I've heard on a phone, but it's much better than a lot of phones. And also, it doesn't have ""equal"" amplitude of sound coming out of both speakers. The bottom one is more powerful, probably because it's the main speaker for ringtones. Overall, it's a good speaker for normal users, for audiophiles - not so great.Sound rating - 8/10Camera:When I first turned the camera on, my mind was blown, probably because of the cheerleading effect of the high quality AMOLED display, but even so, it put up competition with devices that took photo with Google Camera Mod or even the Google Pixel's camera as well. In some cases it was great, in some it was lacking. Overall, the dynamic range is great but not the best. The colours are more true to life, and in the normal / auto camera mode it offers an image of size 12MP. True 48MP images can be taken with the pro mode, and if you can set your camera up properly, you can take amazing photos of the milky way and stars, so it's a powerful camera. The Ultra-Wide camera needs some work done as the details look washed out on the pictures taken Ultra-Wide angle lens. The telephoto lens does its job well up to 3x zoom, but it does produce a tad bit of noise. And the night mode is especially good, it preserves the highlights and details and also lightens up the shadows during very challenging conditions. Amazing night mode. And as for selfies, yes, it's amazing, offering upto 16MP including the precise edge detection in portrait mode of both the back and front, the cameras are great. The OnePlus 7 Pro offers video recording of upto 4K 60FPS which is great and offers slow mo video of upto 240fps in 720p. However, there was a really annoying little problem, which was shutter lag, that's probably because of the software and I hope OnePlus improves that. Otherwise some pictures might be ruined because of it. Overall the camera is decent, and not the best.Camera Rating: 8/10Fingerprint Scanner: Even though it's an optical image fingerprint sensor in the age of newly invented ultrasonic fingerprint scanner, it's fast. Not as much as the physical ones but it's definitely the fastest optical fingerprint sensor I've ever used. And the animation looks cool.Fingerprint scanner rating: 9/10UI: OxygenOS is the best UI you can get from a company. It is definitely smooth, fast and easy to use and doesn't look like a bootleg Android and at least it doesn't annoy people with bloatwares and advertisements in the utility apps. It has a lot of features and is highly customizable.UI Rating: 10/10Build: As much sexy as it looks, the OnePlus 7 Pro is fragile if it falls from your hands. Although glass looks premium and feels premium, I'd rather prefer a metal aluminium body. However, with the addition of curved display, a mechanical camera and the glass back, I'm in love with the design. It is definitely one of it's major selling points. The only other con is the lack of headphone jack, but it would have been consider if OnePlus would have at least included a pair of type-C headphones or at least a type-C to 3.5mm headphone jack converter. Keep up the good work, OnePlus!Build rating: 8/10Hardware: The OnePlus 7 Pro rocks a Snapdragon 855 chipset with Adreno 640, and everything you run on this device from games to Antutu 3D benchmarks, everything runs as smooth as butter with no fps drop or stuttering whatsoever, and doesn't heat up very much as well. However it still doesn't surpass a lot of phones if you match the scores.Hardware rating: 9/10In the Box content: In the box you get a 30W Warp Charge supported charging block with cool red type C cable to charge your phone, a flexible rubber case which is a good addition, some papers with a letter from Pete Lau but unfortunately not type-C to 3.5mm headphone jack adapter or type-C headphones. Huge disappointment.In the Box contents rating: 7/10So overall, we can conclude the OnePlus 7 Pro is a fantastic device but the price could have been at least 3K INR less, even after considering the lack of headphones or the converter, and to retain its title of ""Flagship Killer"". Unfortunately, OnePlus has lost it.Overall Rating: 8.5/10"
39,"I love itI got a screen on time of 6hrs in my first charge itself, battery life will only improve from here and my other concern was the camera, I was pleasantly surprised here it's a good camera but you have to adjust your expectations it's not pixel or p30pro good, in good light you can take some very detailed images , everything else it just works and it's no small thing , the whole experience of using this phone feels refined. I'll list out some pros and cons as wellPros1. Display is awesome and the curve is not bothering me at all2. The speakers get plenty loud and sound pretty good for a smartphone speaker3. It didn't feel too heavy to me and I enjoy the big display4. Charging is really fast and so is the UI5. Main cameraCons1.Could have priced it a bit more competitively"
40,"1) No wireless headset provided,2) Very poor slow motion recording.it keeps on flickering even after recording.No support from Amazon team."
41,"Hi Team,I would like to bring this to your attention that the warp charger is charging really slow and not at all upto the mark. I am not sure if it has been changed during delivery or it was packaged like that. Although I am really happy with the phone's performance and battery life however the charger is not upto the mark. I charged my phone with my sister's dash charger and it charged my phone almost 3 times faster than warp charger.If possible, please pass it to the oneplus team or look into the delivery process.Thanks & Regards,Sahban khan"
42,Macro mode ?
43,"Great choice over S10 Plus.Amazing display and smooth experience with 90Hz refresh rate, which can only be experience while using.Battery gives more than 4 Hours of screen time with 90Hz.Superfast charging with WARP charger.Extremely fast and no log switching between apps and playing games.Outstanding camera which clicks quite decent pics in both day and night.Overall best phone from OnePlus till now. Worth purchase with no cons."
44,Worst phone not worth buying. Very bad launched by OnePlus..... Facing ghost issues and Amazon not taking it bay
45,"Overall it's a average mobile,, not any special than 6t. I have got a damaged piece.. never expected this from amazon"
46,"There is no filter option in camera, even camera quality is really bad, night light camera is disaster. Phone speed is fine, battery not that strong."
47,Slightly heavy to carry.. great buy with top of the line specifications.. excellent camera.. found it a bit slower than one plus 6 I used... perhaps improve with updates and AI..
48,"The phone is great in terms of speed and smoothness but there is no headphone with the phone.- not even an adapter to use my old earphoneAfter spending 50K,I am unable to listen music with my phoneScreen and touch is awesomeSpeed is fastCamera is superbSound quality is good on speakerThere is little problem to listen directly from phone during call as there is full screen instead of earphoneIn this price range we expect it to be bit more - at least a decent earphone should have been added"
49,"Screen is good. Camera is just ok. Fingerprint scanner is bad. Heating too much. No earphone, no 3.5 adaptor. Overall waste of money. Can't expect such bad performance from one plus. They have started cheating customers. This is not at all a flagship phone"
50,First of all i would like to thank Amazon for delivering the product right on time 5 out of 5.Now coming to the phone - This one is a beauty and the beast all together.Display - 10 out of 10Software - 9/10Build - 9/10Battery - 8/10Camera- 9/10Gaming - 10/10Premiumness - 10/10Value for money - 8/10The best flagship right now in the market.Now what i didn't like1. No earphones provided bcos for 50k phone earphones should y provided.2. A rugged protective case would have been welcome3. No type C converter provided.4. Battery life is average but fast charger makes life easy.
51,"Dear Mr Bezos,I am writing this in grief that the product which I received is malfunction and I tried to return this product on day 2 of me buying it , but as per your amazon policy money was not refundable . Is it good to take people hard earned money and become rich with all this schemes , before amazon was never like this . You can check call records even I have contacted your company executives not once but twice. Days passed and it the 16th day of this phone the phone has an issue as when I using an app like watsapp while texting it opens the profile of the person whom I am texting , plus it opens up the the other app . I don't know what problem is this . I urged your executive even that mamm I don't require the money , I would be ordering iPhone XR but then also she said a clear no . Experience WD one plus flagship phone is getting pathetic with every passing day.Regards,A genuine customer who has been using Amazon to buy online product always but this experience made me felt disgusted and pathetic."
52,"I have received a handset with a faulty mic, as soon as i m on call the person on the other hand seems to have disturbance in the voice call this happen when i m on mic as soonnas i switch to speakers it vanishes and everything works fine but the thing is i have purcahsed a phone to make a normal call not speaker call. I have been to the service store they said take the back up of the phone and hand over to us. It means that ordering the device early is stupidity. Now it can happen they will open the phone and the water proof pressure will be damaged, not happy at all."
53,Got my hands on the first prime day sale and arrived two days later.This phone is a fresh breath of air the. The OS is silky smooth  and no lag whatsoever . One plus did an excellent job with their oxygen OS with great optimization . The 90 Hz display makes the experience much more better . You can change it to typical 60 Hz for a long lasting battery hours but who cares when you have a 90hz display. Browsing and scrolling is super smooth and playing games is a bliss thanks to the snapdragon 855 SoC . Been using it for the past two days and the battery life is good . Gets you throughout the day without excessive game play sessions and the latest UFS 3.0 provides blazing fast data transfer.  I get an average of 8 hr of screen on time with full charge and speaking of charging the latest warp charge charges the device from 40 to 100 in around 25 minutes which is fast. I am happy with the device as it is my first one plus device . Looking forward to using it for more than 2 years.
54,"A great premium flagship smartphone.Pros:👉The Display👉Snappy UI Interface👉Oxygen OS (FASTER UPDATES)👉An above average camera( can be better with G-cam mod and future updates )👉Vibration hapitc motor feels more premiumCons👉A bit pricy , but that display !👉Prone to damages can be solved by buying a case👉No wireless charging but you do get a 30W charger👉No ip water resistant although it is water proof check YouTube videos for water tests Op7pro."
55,"I just upgraded from OnePlus 5tDisplay- the best display on any smartphone!I saw the good reviews on this mobile's display but damn! I didn't expect it to be this good!, I have a S10 in my home for comparison and I can surely say this is as good as Samsung'sBuild- I waited for nebula blue and it's worth the wait! It looks awesome, build quality is excellent but a bit hefty but manageable and u will get used to it in one dayCamera- this is the main part, I don't know whether it's due to my low expectations on camera due to all the negativity but I'm genuinely surprised with the camera, even for this I compared it with S10 and it's pretty close to S10, low light photography is a major improvement and it's on par with S10 which is considered as best in low light other than HuaweiSo don't believe all the negativity, I wonder people who are putting negative review are using DSLR for their daily photo needs.. the only negative would be the wide angle lens is not upto the mark and the one on S10 is way betterVery happy with the camera..Battery- way better than my 5t and easily getting upto 7hrs of screen on time with moderate to heavy usage and warp charge is the best!Performance- no need to say specially about performance coz it's OnePlus!855 with 90hz display, the fastest phone in the world!Others- call quality excellent, sound output via Bluetooth excellent, fingerprint sensor excellent, vibration feedback excellent, no ip rating but totally waterproof.Overall an excellent package and it's worth the premium price!Important note: 3x telephoto lens will not be active if the object is at less than 50cm distance from the lens and in very low light scenarios in such cases the main sensor is used for zoom for better quality..."
56,"This is my first ever Android phone, after being an iPhone user for over a decade. The device is superb and fast. Apps work like breeze and overall, Oxygen OS feels clean and fast like iOS. There are several stability issues that I've seen. Most notably, things like the fingerprint scanner do not always work as expected, the double tap feature doesn't always work and the curvature of the screen leads to unwanted taps. The 48Mp camera is pretty good indeed however, I've noticed an occasional focusing issue that prevents the camera from focussing correctly under certain conditions.But I guess Android phones are never perfect simply because their software is not particularly built for the hardware. So, I'm pretty cool with these issues so far, unless something escalates further. Overall, I'm very impressed by the device. Its well built, charges quickly, takes good photos, sounds well and performs well.What I'm more interested in seeing are these minor glitches go away with OTA updates as is popular in the OnePlus community. Apple has never been very responsive to minor complaints and their updates take ages to appear. OnePlus, from what I've heard is very responsive to customer complaints and I'm hoping things become better with upcoming updates.Till then I'm finding 1 - 2 star reviews on Amazon really amusing with people reporting things like a missing screen cleaning cloth, wireless headphones. Get a life people, and buy these on your own."
57,"One plus 7 pro is an awesome phone no doubts.I am a very strong Apple fan, still i used 99% apple products.I have iphone too, but openly say compare to one plus 7 pro, i phone is nothing.Superb camera,superb perfomance.8 gb ram and 256 gb storage capacity around 52, 000/-.Both front and back cameras are awesome.Good phone for gaming people also.Good wide display.Good sound quality.Superb design.No doubts this is best phone in market now.One plus have good brand name too.What I dislike is 1.) Little over weight. 2.)Battery life not that much better.(One day average)3)No headphone Jacket or head phone with this phone.All other features are superb, inbuilt call record, app lock etc etc."
